Unnamed: 0,system:index,elevation,surface_runoff_sum,temperature_2m,total_precipitation_sum,volumetric_soil_water_layer_1,.geo,longitude,latitude,geometry,index_right,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_n,sendist_en,sendistpco,center_lat,center_lon,distance,state_name,lga,region_type,flood_influence,historical_flood_lga,high_risk_state,hybrid_score,flood_label
9470,9470,440,1.1828947780013684e-05,299.92009121784423,0.0016553318800162,0.0829561814749675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.64503611681633,11.09419375887609]}",10.64503611681633,11.09419375887609,POINT (10.645036116816328 11.094193758876091),151,Darazo,,,,NG005005,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,3052.47232235,v01,en,,,,Darazo,Bauchi Central,NG00501,11.10838902,10.50959996,0.0,Bauchi,Darazo,Northern Flash Floods,,0,0,0,0
9471,9471,427,1.0592324828405132e-05,300.1441989772737,0.0015305775664173,0.080550916188024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.734867645228281,11.09419375887609]}",10.73486764522828,11.09419375887609,POINT (10.73486764522828 11.094193758876091),163,Dukku,,,,NG016004,Gombe,,,,NG016,Nigeria,,,,NG,2019-04-17,,3692.63237852,v01,en,,,,Dukku,Gombe North,NG01602,10.78727651,10.82155631,0.0,Gombe,Dukku,Northern Flash Floods,,0,0,0,0
9472,9472,380,9.881588407217884e-06,300.3072333974996,0.0014999027099704,0.0802606651994458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.824699173640234,11.09419375887609]}",10.824699173640234,11.09419375887609,POINT (10.824699173640234 11.094193758876091),151,Darazo,,,,NG005005,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,3052.47232235,v01,en,,,,Darazo,Bauchi Central,NG00501,11.10838902,10.50959996,0.0,Bauchi,Darazo,Northern Flash Floods,,0,0,0,0
9473,9473,335,1.109519991250084e-05,300.4388259743768,0.001473617588708,0.0888445894957205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.914530702052186,11.09419375887609]}",10.914530702052186,11.09419375887609,POINT (10.914530702052184 11.094193758876091),163,Dukku,,,,NG016004,Gombe,,,,NG016,Nigeria,,,,NG,2019-04-17,,3692.63237852,v01,en,,,,Dukku,Gombe North,NG01602,10.78727651,10.82155631,0.0,Gombe,Dukku,Northern Flash Floods,,0,0,0,0
9474,9474,388,1.1421787662627978e-05,300.28554209911294,0.001477947045941,0.0808866173822404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.004362230464139,11.09419375887609]}",11.00436223046414,11.09419375887609,POINT (11.004362230464139 11.094193758876091),163,Dukku,,,,NG016004,Gombe,,,,NG016,Nigeria,,,,NG,2019-04-17,,3692.63237852,v01,en,,,,Dukku,Gombe North,NG01602,10.78727651,10.82155631,0.0,Gombe,Dukku,Northern Flash Floods,,0,0,0,0
9475,9475,347,1.1590889658029088e-05,300.434610843586,0.0014801046810334,0.0819487360610857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.09419375887609,11.09419375887609]}",11.09419375887609,11.09419375887609,POINT (11.09419375887609 11.094193758876091),516,Nafada,,,,NG016009,Gombe,,,,NG016,Nigeria,,,,NG,2019-04-17,,1577.9577221,v01,en,,,,Nafada,Gombe North,NG01602,11.05110805,11.2465273,0.0,Gombe,Nafada,Northern Flash Floods,,0,0,0,0
9476,9476,334,3.87961355206739e-05,300.7869763742132,0.0014893965309925,0.146895035024504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.184025287288042,11.09419375887609]}",11.184025287288042,11.09419375887609,POINT (11.184025287288042 11.094193758876091),516,Nafada,,,,NG016009,Gombe,,,,NG016,Nigeria,,,,NG,2019-04-17,,1577.9577221,v01,en,,,,Nafada,Gombe North,NG01602,11.05110805,11.2465273,0.0,Gombe,Nafada,Northern Flash Floods,,0,0,2,0
9477,9477,286,4.164437244385685e-05,300.93608274449707,0.0014902198660557,0.1395777953771917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.273856815699995,11.09419375887609]}",11.273856815699997,11.09419375887609,POINT (11.273856815699993 11.094193758876091),516,Nafada,,,,NG016009,Gombe,,,,NG016,Nigeria,,,,NG,2019-04-17,,1577.9577221,v01,en,,,,Nafada,Gombe North,NG01602,11.05110805,11.2465273,0.0,Gombe,Nafada,Northern Flash Floods,,0,0,3,0
9478,9478,270,8.199946119163962e-05,301.26188370997613,0.0014814152078957,0.1766255597953618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.363688344111946,11.09419375887609]}",11.363688344111946,11.09419375887609,POINT (11.363688344111946 11.094193758876091),516,Nafada,,,,NG016009,Gombe,,,,NG016,Nigeria,,,,NG,2019-04-17,,1577.9577221,v01,en,,,,Nafada,Gombe North,NG01602,11.05110805,11.2465273,0.0,Gombe,Nafada,Northern Flash Floods,,0,0,4,1
9479,9479,300,9.54776805103342e-05,301.20042835550714,0.0014695232447304,0.1640828810343182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.453519872523898,11.09419375887609]}",11.453519872523898,11.09419375887609,POINT (11.453519872523898 11.094193758876091),221,Fika,,,,NG036004,Yobe,,,,NG036,Nigeria,,,,NG,2019-04-17,,2151.52880193,v01,en,,,,Fika,Yobe South,NG03603,11.35100978,11.18297729,0.0,Yobe,Fika,Northern Flash Floods,Seasonal Flooding,0,0,5,1
9480,9480,321,9.54776805103342e-05,301.20042835550714,0.0014695232447304,0.1640828810343182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.543351400935851,11.09419375887609]}",11.543351400935853,11.09419375887609,POINT (11.54335140093585 11.094193758876091),252,Gulani,,,,NG036008,Yobe,,,,NG036,Nigeria,,,,NG,2019-04-17,,2129.77541982,v01,en,,,,Gulani,Yobe East,NG03601,10.89249304,11.61491403,0.0,Yobe,Gulani,Northern Flash Floods,Seasonal Flooding,0,0,4,1
9481,9481,313,8.608432446696996e-05,301.1421967864345,0.0014643954940022,0.1580774756158377,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.633182929347804,11.09419375887609]}",11.633182929347804,11.09419375887609,POINT (11.633182929347804 11.094193758876091),252,Gulani,,,,NG036008,Yobe,,,,NG036,Nigeria,,,,NG,2019-04-17,,2129.77541982,v01,en,,,,Gulani,Yobe East,NG03601,10.89249304,11.61491403,0.0,Yobe,Gulani,Northern Flash Floods,Seasonal Flooding,0,0,3,0
9482,9482,352,8.621642179872173e-05,301.0180421971697,0.0014919342715153,0.1588452970457461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.723014457759755,11.09419375887609]}",11.723014457759756,11.09419375887609,POINT (11.723014457759755 11.094193758876091),252,Gulani,,,,NG036008,Yobe,,,,NG036,Nigeria,,,,NG,2019-04-17,,2129.77541982,v01,en,,,,Gulani,Yobe East,NG03601,10.89249304,11.61491403,0.0,Yobe,Gulani,Northern Flash Floods,Seasonal Flooding,0,0,3,0
